日平均海面溫度(攝氏度) - 橫瀾島
Daily Mean Sea Temperature (°C) at Waglan Island
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2025,1,1,18.4,C
2025,1,2,18.3,C
2025,1,3,18.2,C
2025,1,4,18.2,C
2025,1,5,18.0,C
2025,1,6,17.9,C
2025,1,7,17.8,C
2025,1,8,17.7,C
2025,1,9,17.7,C
2025,1,10,17.6,C
2025,1,11,17.5,C
2025,1,12,17.3,C
2025,1,13,17.2,C
2025,1,14,17.2,C
2025,1,15,17.2,C
2025,1,16,17.1,C
2025,1,17,17.1,C
2025,1,18,17.2,C
2025,1,19,17.1,C
2025,1,20,17.1,C
2025,1,21,17.0,C
2025,1,22,16.7,C
2025,1,23,16.8,C
2025,1,24,17.2,C
2025,1,25,17.2,C
2025,1,26,17.0,C
2025,1,27,16.7,C
2025,1,28,16.5,C
2025,1,29,16.5,C
2025,1,30,16.5,C
2025,1,31,16.6,C
2025,2,1,16.7,C
2025,2,2,16.8,C
2025,2,3,16.5,C
2025,2,4,16.4,C
2025,2,5,16.3,C
2025,2,6,16.3,C
2025,2,7,16.3,C
2025,2,8,16.0,C
2025,2,9,16.9,C
2025,2,10,16.6,C
2025,2,11,17.4,C
2025,2,12,17.4,C
2025,2,13,17.6,C
2025,2,14,17.9,C
2025,2,15,17.9,C
2025,2,16,18.0,C
2025,2,17,19.0,C
2025,2,18,18.0,C
2025,2,19,17.8,C
2025,2,20,17.7,C
2025,2,21,17.3,C
2025,2,22,17.2,C
2025,2,23,17.3,C
2025,2,24,17.1,C
2025,2,25,16.6,C
2025,2,26,16.7,C
2025,2,27,16.8,C
2025,2,28,17.0,C
2025,3,1,17.4,C
2025,3,2,17.5,C
2025,3,3,17.9,C
2025,3,4,18.0,C
2025,3,5,18.4,C
2025,3,6,17.9,C
2025,3,7,17.4,C
2025,3,8,17.2,C
2025,3,9,17.1,C
2025,3,10,17.3,C
2025,3,11,17.6,C
2025,3,12,17.7,C
2025,3,13,18.2,C
2025,3,14,18.1,C
2025,3,15,18.3,C
2025,3,16,18.3,C
2025,3,17,18.2,C
2025,3,18,18.2,C
2025,3,19,18.3,C
2025,3,20,18.6,C
2025,3,21,18.4,C
2025,3,22,18.4,C
2025,3,23,18.9,C
2025,3,24,19.3,C
2025,3,25,19.5,C
2025,3,26,20.0,C
2025,3,27,20.4,C
2025,3,28,20.5,C
2025,3,29,19.8,C
2025,3,30,19.8,C
2025,3,31,19.7,C
2025,4,1,19.5,C
2025,4,2,19.5,C
2025,4,3,19.6,C
2025,4,4,19.6,C
2025,4,5,19.5,C
2025,4,6,19.7,C
2025,4,7,19.9,C
2025,4,8,20.2,C
2025,4,9,20.6,C
2025,4,10,20.8,C
2025,4,11,20.8,C
2025,4,12,20.8,C
2025,4,13,20.5,C
2025,4,14,20.7,C
2025,4,15,21.2,C
2025,4,16,21.4,C
2025,4,17,21.8,C
2025,4,18,22.0,C
2025,4,19,22.2,C
2025,4,20,22.7,C
2025,4,21,22.9,C
2025,4,22,23.2,C
2025,4,23,23.4,C
2025,4,24,23.7,C
2025,4,25,23.6,C
2025,4,26,23.1,C
2025,4,27,22.8,C
2025,4,28,23.1,C
2025,4,29,23.1,C
2025,4,30,23.3,C
2025,5,1,23.6,C
2025,5,2,23.7,C
2025,5,3,24.2,C
2025,5,4,24.2,C
2025,5,5,24.6,C
2025,5,6,24.6,C
2025,5,7,25.0,C
2025,5,8,25.0,C
2025,5,9,25.0,C
2025,5,10,25.1,C
2025,5,11,24.9,C
2025,5,12,24.8,C
2025,5,13,25.0,C
2025,5,14,25.3,C
2025,5,15,25.5,C
2025,5,16,25.9,C
2025,5,17,25.9,C
2025,5,18,26.2,C
2025,5,19,26.2,C
2025,5,20,26.8,C
2025,5,21,27.2,C
2025,5,22,27.5,C
2025,5,23,27.1,C
2025,5,24,26.8,C
2025,5,25,26.9,C
2025,5,26,26.7,C
2025,5,27,26.5,C
2025,5,28,26.4,C
2025,5,29,26.4,C
2025,5,30,26.2,C
2025,5,31,26.2,C
2025,6,1,26.1,C
2025,6,2,26.5,C
2025,6,3,26.8,C
2025,6,4,26.6,C
2025,6,5,26.4,C
2025,6,6,26.6,C
2025,6,7,27.3,C
2025,6,8,27.7,C
2025,6,9,27.8,C
2025,6,10,28.6,C
2025,6,11,28.0,C
2025,6,12,27.8,C
2025,6,13,28.1,C
2025,6,14,28.0,C
2025,6,15,27.8,C
2025,6,16,28.1,C
2025,6,17,27.9,C
2025,6,18,27.9,C
2025,6,19,28.4,C
2025,6,20,28.0,C
2025,6,21,28.0,C
2025,6,22,28.0,C
2025,6,23,28.0,C
2025,6,24,27.7,C
2025,6,25,27.9,C
2025,6,26,28.3,C
2025,6,27,27.7,C
2025,6,28,27.6,C
2025,6,29,28.1,C
2025,6,30,28.0,C
2025,7,1,27.9,C
2025,7,2,28.8,C
2025,7,3,29.2,C
2025,7,4,29.3,C
2025,7,5,29.6,C
2025,7,6,29.8,C
2025,7,7,29.3,C
2025,7,8,28.8,C
2025,7,9,28.8,C
2025,7,10,27.6,C
2025,7,11,27.3,C
2025,7,12,27.1,C
2025,7,13,26.5,C
2025,7,14,26.7,C
2025,7,15,26.2,C
2025,7,16,26.3,C
2025,7,17,26.4,C
2025,7,18,26.9,C
2025,7,19,26.4,C
2025,7,20,24.9,C
2025,7,21,24.0,C
2025,7,22,24.7,C
2025,7,23,25.3,C
2025,7,24,25.8,C
2025,7,25,25.6,C
2025,7,26,26.2,C
2025,7,27,25.9,C
2025,7,28,26.3,C
2025,7,29,26.1,C
2025,7,30,26.0,C
2025,7,31,26.2,C
2025,8,1,26.9,C
2025,8,2,26.6,C
2025,8,3,26.3,C
2025,8,4,25.9,C
2025,8,5,26.0,C
2025,8,6,26.3,C
2025,8,7,26.7,C
2025,8,8,26.9,C
2025,8,9,26.5,C
2025,8,10,27.4,C
2025,8,11,26.8,C
2025,8,12,26.1,C
2025,8,13,25.6,C
2025,8,14,24.6,C
2025,8,15,25.9,C
2025,8,16,26.3,C
2025,8,17,27.2,C
2025,8,18,27.7,C
2025,8,19,27.5,C
2025,8,20,27.5,C
2025,8,21,27.5,C
2025,8,22,27.2,C
2025,8,23,27.3,C
2025,8,24,27.8,C
2025,8,25,27.9,C
2025,8,26,28.3,C
2025,8,27,28.3,C
2025,8,28,28.0,C
2025,8,29,28.2,C
2025,8,30,28.6,C
2025,8,31,28.8,C

*** 沒有數據/unavailable
# 數據不完整/data incomplete
C 數據完整/data Complete
